Ticker,Sector,Item_Code,Item_Name,Year_2024,Year_2023
CORP_CHUAN,Hàng tiêu dùng,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,900000000000,792000000000
CORP_CHUAN,Hàng tiêu dùng,11,Giá vốn hàng bán,630000000000,554400000000
CORP_CHUAN,Hàng tiêu dùng,20,Lợi nhuận gộp,270000000000,237600000000
CORP_CHUAN,Hàng tiêu dùng,50,Tổng lợi nhuận kế toán trước thuế,150000000000,132000000000
CORP_CHUAN,Hàng tiêu dùng,51,Chi phí thuế thu nhập doanh nghiệp hiện hành,30000000000,26400000000
CORP_CHUAN,Hàng tiêu dùng,60,Lợi nhuận sau thuế thu nhập doanh nghiệp,120000000000,105600000000
CORP_CHUAN,Hàng tiêu dùng,100,TÀI SẢN NGẮN HẠN,420000000000,369600000000
CORP_CHUAN,Hàng tiêu dùng,110,Tiền và các khoản tương đương tiền,80000000000,70400000000
CORP_CHUAN,Hàng tiêu dùng,140,Hàng tồn kho,120000000000,105600000000
CORP_CHUAN,Hàng tiêu dùng,200,TÀI SẢN DÀI HẠN,580000000000,510400000000
CORP_CHUAN,Hàng tiêu dùng,220,Tài sản cố định,410000000000,360800000000
CORP_CHUAN,Hàng tiêu dùng,270,TỔNG CỘNG TÀI SẢN,1000000000000,880000000000
CORP_CHUAN,Hàng tiêu dùng,300,NỢ PHẢI TRẢ,400000000000,352000000000
CORP_CHUAN,Hàng tiêu dùng,310,Nợ ngắn hạn,250000000000,220000000000
CORP_CHUAN,Hàng tiêu dùng,330,Nợ dài hạn,150000000000,132000000000
CORP_CHUAN,Hàng tiêu dùng,400,VỐN CHỦ SỞ HỮU,600000000000,528000000000
CORP_CHUAN,Hàng tiêu dùng,411,Vốn góp của chủ sở hữu,500000000000,440000000000
CORP_CHUAN,Hàng tiêu dùng,440,TỔNG CỘNG NGUỒN VỐN,1000000000000,880000000000
CORP_LECH,Hàng tiêu dùng,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,900000000000,792000000000
CORP_LECH,Hàng tiêu dùng,11,Giá vốn hàng bán,630000000000,554400000000
CORP_LECH,Hàng tiêu dùng,20,Lợi nhuận gộp,270000000000,237600000000
CORP_LECH,Hàng tiêu dùng,50,Tổng lợi nhuận kế toán trước thuế,150000000000,132000000000
CORP_LECH,Hàng tiêu dùng,51,Chi phí thuế thu nhập doanh nghiệp hiện hành,30000000000,26400000000
CORP_LECH,Hàng tiêu dùng,60,Lợi nhuận sau thuế thu nhập doanh nghiệp,120000000000,105600000000
CORP_LECH,Hàng tiêu dùng,100,TÀI SẢN NGẮN HẠN,420000000000,369600000000
CORP_LECH,Hàng tiêu dùng,110,Tiền và các khoản tương đương tiền,80000000000,70400000000
CORP_LECH,Hàng tiêu dùng,140,Hàng tồn kho,120000000000,105600000000
CORP_LECH,Hàng tiêu dùng,200,TÀI SẢN DÀI HẠN,580000000000,510400000000
CORP_LECH,Hàng tiêu dùng,220,Tài sản cố định,410000000000,360800000000
CORP_LECH,Hàng tiêu dùng,270,TỔNG CỘNG TÀI SẢN,1000000000000,880000000000
CORP_LECH,Hàng tiêu dùng,300,NỢ PHẢI TRẢ,400000000000,352000000000
CORP_LECH,Hàng tiêu dùng,310,Nợ ngắn hạn,250000000000,220000000000
CORP_LECH,Hàng tiêu dùng,330,Nợ dài hạn,150000000000,132000000000
CORP_LECH,Hàng tiêu dùng,400,VỐN CHỦ SỞ HỮU,600000000,528000000
CORP_LECH,Hàng tiêu dùng,411,Vốn góp của chủ sở hữu,500000000,440000000
CORP_LECH,Hàng tiêu dùng,440,TỔNG CỘNG NGUỒN VỐN,1000000000000,880000000000
