question_id,item,component,year,document_id,source_line_1,row_index,column_index,raw_value,review_note
833,1,a,2016,VGT_financial_statements_2016_separate,1460,2,1,333.469.304.204,Tổng cổ tức trong doanh thu tài chính công ty mẹ
833,2,a,2024,VGT_financial_statements_2024_separate,1341,1,1,374.746.516.545,Tổng cổ tức trong doanh thu tài chính công ty mẹ
833,3,a,2025,VGT_financial_statements_2025_separate,1400,1,1,262.855.051.500,Tổng cổ tức trong doanh thu tài chính công ty mẹ
836,1,a,2017,TTF_financial_statements_2017_separate,791,3,1,(2.761.917.100),Dự phòng trích lập trong năm
836,2,a,2019,TTF_financial_statements_2019_separate,804,2,1,(280.535.703.178),Dự phòng trích lập trong năm
836,3,a,2021,TTF_financial_statements_2021_separate,871,2,1,(6.121.138.679),Cộng dự phòng trích lập trong năm
836,4,a,2025,TTF_financial_statements_2025_separate,916,2,1,(6.608.661.779),Dự phòng trích lập trong năm
887,1,a,2022,VIC_financial_statements_2022_separate,1839,15,2,9.322,Tổng thù lao Hội đồng Quản trị
887,2,a,2023,VIC_financial_statements_2023_separate,2003,12,2,11.513,Tổng thù lao Hội đồng Quản trị
887,3,a,2024,VIC_financial_statements_2024_separate,2047,11,2,12.025,Tổng thù lao Hội đồng Quản trị
865,2,b,2020,VIF_financial_statements_2020_separate,1004,6,1,72.395.199.451,Tổng phải thu khách hàng ngắn hạn công ty mẹ
865,3,b,2021,VIF_financial_statements_2021_separate,959,7,1,104.028.656.660,Tổng phải thu khách hàng ngắn hạn công ty mẹ
865,4,b,2022,VIF_financial_statements_2022_separate,223,8,3,143.046.839.421,Phải thu ngắn hạn khách hàng trên bảng cân đối công ty mẹ
869,1,a,2015,NVB_financial_statements_2015_separate,396,8,2,-,Lưu chuyển tiền từ hoạt động tài chính không phát sinh theo ô nguồn
869,2,a,2016,NVB_financial_statements_2016_separate,409,8,2,-,Lưu chuyển tiền từ hoạt động tài chính không phát sinh theo ô nguồn
869,3,a,2019,NVB_financial_statements_2019_separate,410,8,2,1.091.339,Lưu chuyển tiền từ hoạt động tài chính
869,4,a,2024,NVB_financial_statements_2024_separate,430,8,2,6.552.212,Lưu chuyển tiền từ hoạt động tài chính
869,5,a,2025,NVB_financial_statements_2025_separate,428,8,2,7.500.000,Lưu chuyển tiền từ hoạt động tài chính
880,1,b,2022,MBB_financial_statements_2022_separate_1,1398,1,1,152.053.008,Tổng chứng khoán nợ cùng bảng trái phiếu Chính phủ
880,2,a,2022,MSB_financial_statements_2022_separate,1342,2,1,16.577.065,Chứng khoán Chính phủ
880,3,b,2022,STB_financial_statements_2022_separate,1398,1,1,27.759.758,Tổng chứng khoán nợ cùng bảng trái phiếu Chính phủ
914,1,a,2019,SJG_financial_statements_2019_consolidated,362,22,4,350,EPS trên báo cáo kết quả kinh doanh
914,2,a,2020,SJG_financial_statements_2020_consolidated,389,22,4,17,EPS trên báo cáo kết quả kinh doanh
914,3,a,2021,SJG_financial_statements_2021_consolidated,358,22,4,804,EPS trên báo cáo kết quả kinh doanh
914,4,a,2022,SJG_financial_statements_2022_consolidated,450,22,3,3.375,EPS trên báo cáo kết quả kinh doanh
914,5,a,2023,SJG_financial_statements_2023_consolidated,534,22,3,960,EPS trên báo cáo kết quả kinh doanh
926,1,a,2020,MSN_financial_statements_2020_consolidated,1730,6,1,3.163.599,Thành phẩm giá gốc cuối năm
926,1,b,2020,MSN_financial_statements_2020_consolidated,1730,9,1,12.730.397,Tổng hàng tồn kho giá gốc cuối năm
926,2,a,2020,MML_financial_statements_2020_consolidated,1032,6,1,218.245.504.872,Thành phẩm giá gốc cuối năm
926,2,b,2020,MML_financial_statements_2020_consolidated,1032,8,1,2.262.342.474.609,Tổng hàng tồn kho giá gốc cuối năm
926,3,a,2020,MPC_financial_statements_2020_consolidated,922,6,1,2.758.530.073.037,Thành phẩm giá gốc cuối năm
926,3,b,2020,MPC_financial_statements_2020_consolidated,922,7,1,3.135.048.390.423,Tổng hàng tồn kho giá gốc cuối năm
926,4,a,2020,VNM_financial_statements_2020_consolidated,1260,6,1,1.185.827.459.309,Thành phẩm giá gốc cuối năm
926,4,b,2020,VNM_financial_statements_2020_consolidated,1260,9,1,4.952.848.688.011,Tổng hàng tồn kho giá gốc cuối năm
931,1,a,2025,GEE_financial_statements_2025_separate,419,22,4,(7.148.669.440),Hao mòn lũy kế TSCĐ hữu hình cuối năm
931,1,b,2025,GEE_financial_statements_2025_separate,419,21,4,9.490.539.932,Nguyên giá TSCĐ hữu hình cuối năm
931,2,a,2025,GEX_financial_statements_2025_separate,489,9,4,(40.304.826.813),Hao mòn lũy kế TSCĐ hữu hình cuối năm
931,2,b,2025,GEX_financial_statements_2025_separate,489,8,4,97.983.124.514,Nguyên giá TSCĐ hữu hình cuối năm
931,3,a,2025,VGC_financial_statements_2025_separate,320,7,4,(2.692.553.107.516),Hao mòn lũy kế TSCĐ hữu hình cuối năm
931,3,b,2025,VGC_financial_statements_2025_separate,320,6,4,4.003.424.199.446,Nguyên giá TSCĐ hữu hình cuối năm
931,4,a,2025,SAM_financial_statements_2025_separate,285,23,3,(15.168.351.394),Hao mòn lũy kế TSCĐ hữu hình cuối năm
931,4,b,2025,SAM_financial_statements_2025_separate,285,22,3,16.867.945.035,Nguyên giá TSCĐ hữu hình cuối năm
931,5,a,2025,PC1_financial_statements_2025_separate,325,7,3,(1.001.599.075.979),Hao mòn lũy kế TSCĐ hữu hình cuối năm
931,5,b,2025,PC1_financial_statements_2025_separate,325,6,3,2.887.974.978.217,Nguyên giá TSCĐ hữu hình cuối năm
939,1,a,2022,PNJ_financial_statements_2022_consolidated,179,8,3,(433.046.785.694),Khấu hao lũy kế TSCĐ hữu hình cuối năm
939,1,b,2022,PNJ_financial_statements_2022_consolidated,179,7,3,672.781.337.441,Nguyên giá TSCĐ hữu hình cuối năm
939,2,a,2022,MWG_financial_statements_2022_consolidated,193,26,3,(11.188.183.603.219),Khấu hao lũy kế TSCĐ hữu hình cuối năm
939,2,b,2022,MWG_financial_statements_2022_consolidated,193,25,3,20.841.513.609.195,Nguyên giá TSCĐ hữu hình cuối năm
